Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Children,Drinker,Smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4
118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0
179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4
289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2
179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8
260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4
155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40
235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8
260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1
179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4
246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8
179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8
189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8
248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2
330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8
179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1
361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40
260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4
289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,7
289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1
157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4
289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2
179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8
235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,4
235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2
361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1
289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,4
235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4
184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,2
118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4
179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,4
235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8
155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2
118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3
179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3
291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,4
260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8
291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32
260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0
225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0
225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,2
118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2
289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0
118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31,0
225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,3
179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3
369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0
248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1
179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3
260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,4
179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3
118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3
118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31,0
179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,1
179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3
225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3
118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3
225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2
248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2
291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,5
179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8
225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3
260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16
291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8
225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2
289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8
361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,1
260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,3
179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1
225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1
179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8
179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5
155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32
189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8
291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40
225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1
155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8
225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3
179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3
260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,4
248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,1
225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3
289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24
291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,3
248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1
118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64
118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,2
235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8
225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2
